Make,Model,Modulation,Weight(oz),L(in),W(in),H(in),Torque(which_V),Torque(oz-in),Speed(which_V),Speed(s/60deg),Motor Type,Rotation,Gear Material,Typical Price
FMA Direct,S301,(add),1.55,1.60,0.80,1.50,4.8,41.7,4.8,0.14,(add),(add),(add),14.95
FMA Direct,S350,(add),1.69,1.60,0.80,1.50,4.8,50.0,4.8,0.21,(add),(add),(add),17.95
FMA Direct,S3501,(add),1.73,1.60,0.80,1.50,4.8,83.0,4.8,0.10,Coreless,(add),(add),44.95
FMA Direct,S3501M,(add),1.83,1.60,0.80,1.50,4.8,83.0,4.8,0.10,Coreless,Dual Bearings,Metal,47.95
FMA Direct,S350M,(add),1.95,1.60,0.80,1.50,4.8,50.0,4.8,0.21,(add),(add),(add),19.95
FMA Direct,S355,(add),1.69,1.60,0.80,1.70,4.8,114.0,4.8,0.31,(add),(add),(add),19.95
FMA Direct,S3551,(add),1.73,1.60,0.80,1.70,4.8,98.0,4.8,0.16,Coreless,Dual Bearings,(add),44.95
FMA Direct,S3551M,(add),1.83,1.60,0.80,1.70,4.8,98.0,4.8,0.16,Coreless,Dual Bearings,Metal,47.95
FMA Direct,S355M,(add),2.00,1.60,0.80,1.70,4.8,114.0,4.8,0.31,(add),(add),(add),21.95
FMA Direct,S360,(add),1.69,1.60,0.80,1.70,4.8,81.0,4.8,0.19,(add),Dual Bearings,(add),19.95
FMA Direct,S3601,(add),1.73,1.60,0.80,1.70,4.8,108.0,4.8,0.13,Coreless,Dual Bearings,(add),44.95
FMA Direct,S3601M,(add),1.83,1.60,0.80,1.70,4.8,108.0,4.8,0.13,Coreless,Dual Bearings,Metal,47.95
FMA Direct,S360M,(add),2.00,1.60,0.80,1.70,4.8,81.0,4.8,0.19,(add),Dual Bearings,Metal,21.95
FMA Direct,S400,(add),4.00,2.14,1.04,2.02,4.8,180.5,4.8,0.20,(add),Dual Bearings,(add),24.95
FMA Direct,S500,(add),5.40,2.48,1.27,2.22,4.8,298.0,4.8,0.22,(add),Dual Bearings,(add),44.95
FMA Direct,S550,(add),5.40,2.48,1.27,2.22,4.8,298.0,4.8,1.50,(add),(add),(add),54.95
FMA Direct,S555,(add),5.40,2.48,1.27,2.22,4.8,298.0,4.8,0.75,(add),(add),(add),(add)
FMA Direct,S600,(add),1.13,1.78,0.89,0.97,4.8,100.0,4.8,0.50,(add),(add),(add),24.95
FMA Direct,S70,(add),0.25,0.90,0.37,0.72,4.8,11.0,4.8,0.11,(add),(add),Plastic,29.95
FMA Direct,S700,(add),1.20,1.76,0.89,1.13,4.8,30.5,4.8,0.09,(add),(add),(add),17.95
FMA Direct,S701,(add),1.48,1.76,0.89,1.13,4.8,43.0,4.8,0.23,(add),(add),(add),12.95
FMA Direct,S80,(add),0.32,0.85,0.43,0.78,4.8,11.1,4.8,0.11,(add),Single Bearing,(add),21.95
FMA Direct,S90,(add),0.35,0.85,0.43,0.78,4.8,19.0,4.8,0.09,(add),Single Bearing,(add),24.95
FMA Direct,S95,(add),0.46,1.06,0.50,0.88,4.8,22.0,4.8,0.12,(add),Single Bearing,(add),21.95
Futaba,BLS-A600,(add),0.99,1.07,0.51,1.20,6.6,83.3,6.6,0.10,Brushless,(add),(add),169.99
Futaba,BLS-A600,(add),0.99,1.07,0.51,1.20,7.4,93.0,7.4,0.09,Brushless,(add),(add),169.99
Futaba,BLS-CM600,(add),0.99,1.07,0.51,1.20,6.0,74.9,6.0,0.11,Brushless,(add),Plastic,159.99
Futaba,BLS-CM600,(add),0.99,1.07,0.51,1.20,7.4,93.0,7.4,0.09,Brushless,(add),Plastic,159.99
Futaba,BLS-HC600,(add),2.72,1.59,0.83,1.51,6.6,188.9,6.6,0.08,Brushless,(add),(add),199.99
Futaba,BLS-HC600,(add),2.72,1.59,0.83,1.51,7.4,211.1,7.4,0.07,Brushless,(add),(add),199.99
Futaba,BLS151,Digital,1.59,1.61,0.79,1.42,4.8,133.0,4.8,0.15,Brushless,(add),(add),129.99
Futaba,BLS152,Digital,2.57,1.59,0.83,1.51,6.0,430.6,6.0,0.14,Brushless,Dual Bearings,Metal,179.99
Futaba,BLS153,Digital,0.92,1.40,0.59,1.13,4.8,76.4,4.8,0.15,Brushless,Dual Bearings,Plastic,119.99
Futaba,BLS153,Digital,0.92,1.40,0.59,1.13,6.0,97.2,6.0,0.12,Brushless,Dual Bearings,Plastic,119.99
Futaba,BLS154,Digital,1.80,1.89,1.10,0.98,4.8,111.0,4.8,0.13,Brushless,(add),(add),(add)
Futaba,BLS155,Digital,2.26,1.57,0.79,1.45,4.8,200.0,4.8,0.19,Brushless,Dual Bearings,Metal,129.00
Futaba,BLS155,Digital,2.26,1.57,0.79,1.45,6.0,250.0,6.0,0.15,Brushless,Dual Bearings,Metal,129.00
Futaba,BLS156HV,Digital,2.33,1.58,0.79,1.45,6.0,250.0,6.0,0.15,Brushless,Dual Bearings,Metal,115.00
Futaba,BLS156HV,Digital,2.33,1.58,0.79,1.45,7.4,291.7,7.4,0.12,Brushless,Dual Bearings,Metal,115.00
Futaba,BLS157HV,Digital,2.72,1.59,0.83,1.51,6.0,430.6,6.0,0.14,Brushless,Dual Bearings,Hybrid,138.00
Futaba,BLS157HV,Digital,2.72,1.59,0.83,1.51,7.4,513.9,7.4,0.11,Brushless,Dual Bearings,Hybrid,138.00
Futaba,BLS171HV,Digital,1.66,1.58,0.79,1.37,7.4,164.0,7.4,0.10,Brushless,Dual Bearings,Hybrid,(add)
Futaba,BLS171SV,Digital,1.69,1.58,0.79,1.38,6.0,133.0,6.0,0.13,Brushless,Dual Bearings,Metal,149.99
Futaba,BLS171SV,Digital,1.69,1.58,0.79,1.38,7.4,164.0,7.4,0.10,Brushless,Dual Bearings,Metal,149.99
Futaba,BLS171SV,Digital,1.69,1.58,0.79,1.38,6.6,147.0,6.6,0.11,Brushless,Dual Bearings,Metal,149.99
Futaba,BLS172HV,Digital,2.61,1.61,0.83,1.50,6.0,472.2,6.0,0.12,Brushless,Dual Bearings,Hybrid,249.00
Futaba,BLS172HV,Digital,2.61,1.61,0.83,1.50,7.4,514.0,7.4,0.11,Brushless,Dual Bearings,Hybrid,249.00
Futaba,BLS172SV,Digital,2.61,1.61,0.83,1.50,6.0,431.0,6.0,0.14,Brushless,Dual Bearings,Hybrid,199.99
Futaba,BLS172SV,Digital,2.61,1.61,0.83,1.50,7.4,514.0,7.4,0.11,Brushless,Dual Bearings,Hybrid,199.99
Futaba,BLS172SV,Digital,2.61,1.61,0.83,1.50,6.6,472.0,6.6,0.12,Brushless,Dual Bearings,Hybrid,199.99
Futaba,BLS173SV,Digital,0.99,1.30,0.59,1.07,6.0,86.0,6.0,0.12,Brushless,Dual Bearings,Metal,149.99
Futaba,BLS173SV,Digital,0.99,1.30,0.59,1.07,7.4,105.6,7.4,0.10,Brushless,Dual Bearings,Metal,149.99
Futaba,BLS173SV,Digital,0.99,1.30,0.59,1.07,6.6,94.5,6.6,0.11,Brushless,Dual Bearings,Metal,149.99
Futaba,BLS173SVi,Digital,0.99,1.30,0.59,1.06,6.0,86.0,6.0,0.12,Brushless,Dual Bearings,Metal,139.99
Futaba,BLS173SVi,Digital,0.99,1.30,0.59,1.06,7.4,106.0,7.4,0.10,Brushless,Dual Bearings,Metal,139.99
Futaba,BLS173SVi,Digital,0.99,1.30,0.59,1.06,6.6,94.0,6.6,0.11,Brushless,Dual Bearings,Metal,139.99
Futaba,BLS174HV,Digital,1.66,1.87,1.06,1.00,7.4,133.0,7.4,0.09,Brushless,Dual Bearings,Plastic,(add)
Futaba,BLS174SV,Digital,1.87,1.89,1.06,0.98,6.0,108.0,6.0,0.11,Brushless,Dual Bearings,Metal,149.99
