Make,Model,Modulation,Weight(oz),L(in),W(in),H(in),Torque(which_V),Torque(oz-in),Speed(which_V),Speed(s/60deg),Motor Type,Rotation,Gear Material,Typical Price
CYS,BLS5807,Digital,2.93,1.58,0.79,1.55,7.2,97.2,7.4,0.05,Brushless,(add),Metal,(add)
CYS,S0060,Analog,1.83,1.61,0.79,1.5,4.8,83.3,4.8,0.14,(add),(add),Metal,(add)
CYS,S0060,Analog,1.83,1.61,0.79,1.5,6.0,90.3,6.0,0.12,(add),(add),Metal,(add)
CYS,S0070,Analog,1.06,1.74,0.91,0.96,4.8,97.2,4.8,0.3,(add),(add),Plastic,(add)
CYS,S2105,Digital,2.12,1.58,0.79,1.47,6.0,55.6,6.0,0.07,Coreless,(add),Titanium,(add)
CYS,S2105,Digital,2.12,1.58,0.79,1.47,7.2,69.4,7.2,0.06,Coreless,(add),Titanium,(add)
CYS,S2107,Digital,2.12,1.58,0.79,1.47,6.0,97.2,6.0,0.08,Coreless,(add),Titanium,(add)
CYS,S2305,Digital,1.76,1.61,0.79,0.99,6.0,69.4,6.0,0.05,Coreless,(add),Titanium,(add)
CYS,S2305,Digital,1.76,1.61,0.79,0.99,7.4,90.3,7.4,0.04,Coreless,(add),Titanium,(add)
CYS,S2315,Digital,2.05,1.61,0.79,0.99,7.2,62.5,7.4,0.05,Coreless,(add),Titanium,(add)
CYS,S2318,Digital,2.05,1.61,0.79,1.01,6.0,90.3,6.0,0.07,Coreless,(add),Titanium,(add)
CYS,S2507,Digital,2.26,1.58,0.79,1.42,6.0,97.2,6.0,0.1,Coreless,(add),Titanium,(add)
CYS,S2905,Digital,2.61,1.58,0.79,1.55,6.0,69.4,6.0,0.05,Coreless,(add),Titanium,(add)
CYS,S2905,Digital,2.61,1.58,0.79,1.55,7.2,83.3,7.4,0.04,Coreless,(add),Titanium,(add)
CYS,S3006,Analog,1.41,1.61,0.79,1.5,4.8,62.5,4.8,0.14,(add),(add),Plastic,(add)
CYS,S3006,Analog,1.41,1.61,0.79,1.5,6.0,69.4,6.0,0.12,(add),(add),Plastic,(add)
CYS,S3210,Digital,1.59,1.38,0.59,1.29,6.0,69.4,6.0,0.04,Coreless,(add),Metal,(add)
CYS,S3210,Digital,1.59,1.38,0.59,1.29,7.2,83.3,7.4,0.04,Coreless,(add),Metal,(add)
CYS,S8202,Digital,0.99,1.42,0.6,1.13,4.8,55.6,4.8,0.1,(add),(add),Titanium,(add)
CYS,S8202,Digital,0.99,1.42,0.6,1.13,6.0,69.4,6.0,0.08,(add),(add),Titanium,(add)
CYS,S8204,Analog,0.95,1.19,0.39,1.4,4.8,62.5,4.8,0.14,Coreless,(add),Metal,(add)
CYS,S8204,Analog,0.95,1.19,0.39,1.4,6.0,65.3,6.0,0.12,Coreless,(add),Metal,(add)
